{acc_sem_ruido} {acc_com_ruido} {f1_sem_ruido} {f1_com_ruido}
0.9166666666666666 0.9074074074074074 0.9090909090909091 0.9152542372881356
0.9907407407407407 0.9537037037037037 0.9906542056074766 0.9557522123893806
0.9722222222222222 0.8888888888888888 0.9714285714285714 0.9
0.9537037037037037 0.9351851851851852 0.9557522123893806 0.9391304347826087
1.0 0.9629629629629629 1.0 0.9642857142857143
0.9259259259259259 0.9259259259259259 0.9215686274509803 0.9298245614035088
1.0 0.9351851851851852 1.0 0.9391304347826087
0.9444444444444444 0.9074074074074074 0.9473684210526315 0.9152542372881356
0.9629629629629629 0.9166666666666666 0.9615384615384616 0.9230769230769231
0.9537037037037037 0.9074074074074074 0.9514563106796117 0.9137931034482759
