{acc_sem_ruido} {acc_com_ruido} {f1_sem_ruido} {f1_com_ruido}
0.9166666666666666 0.9351851851851852 0.9090909090909091 0.9369369369369369
0.9629629629629629 0.9722222222222222 0.9615384615384616 0.972972972972973
1.0 0.8796296296296297 1.0 0.8925619834710744
0.9907407407407407 0.9259259259259259 0.9908256880733946 0.9310344827586207
0.9722222222222222 0.9259259259259259 0.9724770642201835 0.9298245614035088
0.9537037037037037 0.8518518518518519 0.9557522123893806 0.8709677419354839
0.9537037037037037 0.9351851851851852 0.9514563106796117 0.9391304347826087
0.9722222222222222 0.9259259259259259 0.9714285714285714 0.9310344827586207
0.9537037037037037 0.9259259259259259 0.9532710280373832 0.9310344827586207
0.9537037037037037 0.9537037037037037 0.9514563106796117 0.954954954954955
