TesteOPT,0,2.0,1.0,3,3,0.9167,0.9143,0.9412,0.8889
TesteOPT,0,2.0,0.84,3,3,0.5000,0.0357,0.5000,0.0185
TesteOPT,0,2.0,0.84,3,3,0.5000,0.3491,0.5000,0.0185
TesteOPT,1,2.0,0.84,3,3,0.5833,0.3077,0.9091,0.1852
TesteOPT,1,2.0,0.95,3,3,0.6389,0.4507,0.9412,0.2963
TesteOPT,1,2.0,0.98,3,3,0.7315,0.6506,0.9310,0.5000
TesteOPT,2,2.0,0.84,3,3,0.4907,0.0351,0.3333,0.0185
TesteOPT,2,2.0,0.98,3,3,0.6481,0.4865,0.9000,0.3333
TesteOPT,2,2.0,0.98,3,3,0.6481,0.4865,0.9000,0.3333
TesteOPT,3,2.0,0.98,3,3,0.5185,0.1034,0.7500,0.0556
