TesteWindow,1,3.0,1.0,8,8,0.9020,0.9093,0.8841,0.9360
TesteWindow,1,2.97,0.99,7,7,0.5154,0.2607,0.6559,0.1627
TesteWindow,1,2.94,0.98,7,7,0.5070,0.2143,0.6575,0.1280
TesteWindow,1,2.91,0.97,7,7,0.5042,0.2027,0.6522,0.1200
TesteWindow,1,2.88,0.96,7,7,0.4986,0.1864,0.6308,0.1093
TesteWindow,1,2.85,0.95,7,7,0.4916,0.1693,0.5968,0.0987
TesteWindow,1,2.82,0.94,7,7,0.4874,0.1567,0.5763,0.0907
TesteWindow,1,2.79,0.93,7,7,0.4874,0.1567,0.5763,0.0907
TesteWindow,1,2.76,0.92,7,7,0.4902,0.1613,0.5932,0.0933
TesteWindow,1,2.73,0.91,7,7,0.4902,0.1651,0.5902,0.0960
TesteWindow,1,2.7,0.9,7,7,0.4916,0.1693,0.5968,0.0987
TesteWindow,1,2.67,0.89,7,7,0.4944,0.1777,0.6094,0.1040
TesteWindow,1,2.64,0.88,7,7,0.4944,0.1777,0.6094,0.1040
TesteWindow,1,2.61,0.87,6,6,0.4972,0.1822,0.6250,0.1067
TesteWindow,1,2.58,0.86,6,6,0.5000,0.1941,0.6324,0.1147
TesteWindow,1,2.55,0.85,6,6,0.4986,0.1900,0.6269,0.1120
TesteWindow,1,2.52,0.84,6,6,0.5014,0.1982,0.6377,0.1173
TesteWindow,1,2.49,0.83,6,6,0.5014,0.1982,0.6377,0.1173
TesteWindow,1,2.46,0.82,6,6,0.5014,0.1982,0.6377,0.1173
TesteWindow,1,2.43,0.81,6,6,0.5028,0.2022,0.6429,0.1200
TesteWindow,1,2.4,0.8,6,6,0.5028,0.2022,0.6429,0.1200
TesteWindow,1,2.37,0.79,6,6,0.5070,0.2143,0.6575,0.1280
TesteWindow,1,2.34,0.78,6,6,0.5084,0.2183,0.6622,0.1307
TesteWindow,1,2.31,0.77,6,6,0.5084,0.2148,0.6667,0.1280
TesteWindow,1,2.28,0.76,6,6,0.5070,0.2178,0.6533,0.1307
TesteWindow,1,2.25,0.75,6,6,0.5126,0.2301,0.6753,0.1387
TesteWindow,1,2.22,0.74,5,5,0.5140,0.2306,0.6842,0.1387
TesteWindow,1,2.19,0.73,5,5,0.5140,0.2306,0.6842,0.1387
TesteWindow,1,2.16,0.72,5,5,0.5140,0.2340,0.6795,0.1413
TesteWindow,1,2.13,0.71,5,5,0.5154,0.2379,0.6835,0.1440
TesteWindow,1,2.1,0.7,5,5,0.5140,0.2340,0.6795,0.1413
TesteWindow,1,2.07,0.69,5,5,0.5140,0.2306,0.6842,0.1387
TesteWindow,1,2.04,0.68,5,5,0.5126,0.2267,0.6800,0.1360
TesteWindow,1,2.01,0.67,5,5,0.5140,0.2306,0.6842,0.1387
TesteWindow,1,1.98,0.66,5,5,0.5140,0.2306,0.6842,0.1387
TesteWindow,1,1.95,0.65,5,5,0.5140,0.2306,0.6842,0.1387
TesteWindow,1,1.92,0.64,5,5,0.5140,0.2340,0.6795,0.1413
TesteWindow,1,1.89,0.63,5,5,0.5154,0.2379,0.6835,0.1440
TesteWindow,1,1.86,0.62,4,4,0.5154,0.2379,0.6835,0.1440
TesteWindow,1,1.83,0.61,4,4,0.5168,0.2418,0.6875,0.1467
TesteWindow,1,1.8,0.6,4,4,0.5182,0.2456,0.6914,0.1493
TesteWindow,1,1.77,0.59,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.74,0.58,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.71,0.57,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.68,0.56,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.65,0.55,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.62,0.54,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.59,0.53,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.56,0.52,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.53,0.51,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.5,0.5,4,4,0.5182,0.2489,0.6867,0.1520
TesteWindow,1,1.47,0.49,3,3,0.5196,0.2527,0.6905,0.1547
TesteWindow,1,1.44,0.48,3,3,0.5210,0.2565,0.6941,0.1573
TesteWindow,1,1.41,0.47,3,3,0.5210,0.2565,0.6941,0.1573
TesteWindow,1,1.38,0.46,3,3,0.5210,0.2565,0.6941,0.1573
TesteWindow,1,1.35,0.45,3,3,0.5210,0.2565,0.6941,0.1573
TesteWindow,1,1.32,0.44,3,3,0.5238,0.2609,0.7059,0.1600
TesteWindow,1,1.29,0.43,3,3,0.5252,0.2678,0.7045,0.1653
TesteWindow,1,1.26,0.42,3,3,0.5224,0.2635,0.6932,0.1627
TesteWindow,1,1.23,0.41,3,3,0.5238,0.2672,0.6966,0.1653
TesteWindow,1,1.2,0.4,3,3,0.5252,0.2710,0.7000,0.1680
TesteWindow,1,1.17,0.39,3,3,0.5266,0.2747,0.7033,0.1707
TesteWindow,1,1.14,0.38,3,3,0.5266,0.2747,0.7033,0.1707
TesteWindow,1,1.11,0.37,3,3,0.5266,0.2747,0.7033,0.1707
TesteWindow,1,1.08,0.36,2,2,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,1.05,0.35,2,2,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,1.02,0.34,2,2,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.99,0.33,2,2,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.96,0.32,2,2,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.93,0.31,2,2,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.9,0.3,2,2,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.87,0.29,2,2,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.84,0.28,2,2,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.81,0.27,2,2,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.78,0.26,2,2,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.75,0.25,2,2,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.72,0.24,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.69,0.23,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.66,0.22,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.63,0.21,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.6,0.2,1,1,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.57,0.19,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.54,0.18,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.51,0.17,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.48,0.16,1,1,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.45,0.15,1,1,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.42,0.14,1,1,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.39,0.13,1,1,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.36,0.12,1,1,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.33,0.11,0,0,0.5308,0.2857,0.7128,0.1787
TesteWindow,1,0.3,0.1,0,0,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.27,0.09,0,0,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.24,0.08,0,0,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.21,0.07,0,0,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.18,0.06,0,0,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.15,0.05,0,0,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.12,0.04,0,0,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.09,0.03,0,0,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.06,0.02,0,0,0.5280,0.2784,0.7065,0.1733
TesteWindow,1,0.03,0.01,0,0,0.5294,0.2821,0.7097,0.1760
TesteWindow,1,0.0,0.0,0,0,0.5294,0.2821,0.7097,0.1760
